,PE_Shiller,PE_multpl,PE_investorsfriend,PE_fullratio,PE_HSI
1914-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1915-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1916-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1917-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1918-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1919-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
